"","numpolic","puisveh","sex","bonusmalus","ageveh","nb","sinistre","agecond","valeurvehi","garantie","carbrantutil","USAGEE","zone"
"1","1100000870",4,0,1,"Véhicule ancienne",1,30020.5,"Jeune",1449000,"Garan1",0,"Taxi","C"
"2","1100005748",5,1,1,"Véhicule récente",1,47500,"Actif",1599000,"Garan1",0,"Taxi","A"
"3","1100002198",6,1,0.65,"Véhicule récente",2,27880,"Jeune",1329000,"Garan1",0,"Affaire","E"
"4","1100004566",4,0,0.75,"Véhicule récente",2,26800,"Jeune",1579000,"Garan1",1,"Affaire","D"
"5","1100003941",6,0,1,"Véhicule très ancienne",1,19200,"Jeune",1749000,"Garan2",1,"Affaire","C"
"6","1100003716",6,0,0.75,"Véhicule ancienne",1,37915,"Actif",1779000,"Garan2",1,"Affaire","C"
"7","1100004886",4,1,0.75,"Véhicule ancienne",1,29925.5,"Actif",1899000,"Garan1",1,"Affaire","A"
"8","1100006556",5,1,1,"Véhicule récente",1,9200,"Personne très âgée",2149000,"Garan1",1,"Affaire","B"
"9","1100005754",4,1,1,"Véhicule très ancienne",1,43995,"Jeune actif",2499000,"Garan2",0,"Affaire","A"
"10","1100006749",5,1,1,"Véhicule très ancienne",1,17685.41,"Actif",2699000,"Garan1",0,"Affaire","B"
"11","1100002756",7,1,1,"Véhicule récente",2,46845,"Jeune",2329000,"Garan1",0,"Affaire","A"
"12","1100006429",6,0,1,"Véhicule ancienne",2,14718.83,"Actif",2649000,"Garan1",0,"Affaire","C"
"13","1100000407",7,0,1,"Véhicule récente",3,13200,"Actif",2699000,"Garan2",0,"Affaire","C"
"14","1100004002",5,0,1,"Véhicule très récente",3,23071.38,"Personne âgée",2999000,"Garan2",0,"Affaire","A"
"15","1100006010",6,0,1,"Véhicule ancienne",4,13700,"Personne très âgée",3555000,"Garan2",0,"Affaire","B"
"16","1100006372",4,1,1,"Véhicule récente",5,13200,"Actif",2021000,"Garan3",0,"Affaire","C"
"17","1100003481",4,1,1,"Véhicule ancienne",5,16995,"Actif",2214000,"Garan3",0,"Affaire","F"
"18","1100003271",7,1,1,"Véhicule ancienne",5,46101.42,"Actif",3215000,"Garan3",0,"Affaire","C"
"19","1100003603",6,0,1,"Véhicule très ancienne",5,47700,"Jeune",4215000,"Garan1",0,"Affaire","D"
"20","1100002060",4,1,1,"Véhicule ancienne",4,6647.31,"Jeune actif",4e+06,"Garan1",0,"Affaire","C"
"21","1100006413",4,1,1,"Véhicule très récente",4,5000,"Très jeune",4215000,"Garan2",1,"Affaire","A"
"22","1100005685",6,1,1,"Véhicule très ancienne",3,17700,"Personne âgée",3021000,"Garan2",1,"Affaire","C"
"23","1100004824",6,1,1,"Véhicule récente",1,11800,"Jeune",3051000,"Garan2",1,"Affaire","B"
"24","1100006239",5,1,1,"Véhicule très récente",1,24900,"Très jeune",1215000,"Garan2",1,"Affaire","B"
"25","1100005673",3,1,1,"Véhicule récente",1,33450,"Jeune",1251000,"Garan1",1,"Affaire","A"
"26","1100000594",3,0,1,"Véhicule récente",1,19200,"Très jeune",1005000,"Garan1",0,"Affaire","C"
"27","1100004406",5,1,1.5,"Véhicule très récente",1,19200,"Personne âgée",9e+06,"Garan1",1,"Affaire","C"
"28","1100006705",6,1,1,"Véhicule ancienne",1,30075.68,"Jeune",8e+06,"Garan1",0,"Affaire","C"
"29","1100000273",3,0,1,"Véhicule très ancienne",1,31360,"Jeune actif",9111000,"Garan2",1,"Affaire","C"
"30","1100001184",7,1,1,"Véhicule récente",1,15712.09,"Jeune",9563000,"Garan2",1,"Affaire","C"
"31","1100005504",4,1,1,"Véhicule très récente",1,30153.5,"Jeune actif",1003000,"Garan3",1,"Affaire","C"
"32","1100004042",6,1,1,"Véhicule récente",1,16000,"Actif",1254000,"Garan3",1,"Affaire","A"
"33","1100006247",7,1,1,"Véhicule ancienne",1,10500,"Jeune actif",1874000,"Garan3",1,"Affaire","D"
"34","1100005287",5,1,0.75,"Véhicule très récente",1,8187.06,"Jeune",2125000,"Garan3",0,"Affaire","A"
"35","1100006696",5,1,1,"Véhicule récente",1,6000,"Très jeune",2125000,"Garan3",0,"Affaire","C"
"36","1100006637",6,0,1,"Véhicule très récente",1,15200,"Actif",2125000,"Garan3",0,"Affaire","A"
"37","1100006075",5,1,1,"Véhicule très récente",1,23000,"Actif",1125000,"Garan3",0,"Commerce","A"
"38","1100000300",2,1,0.65,"Véhicule très ancienne",1,19200,"Personne très âgée",1111000,"Garan2",0,"Affaire","C"
"39","1100005796",5,1,1,"Véhicule ancienne",1,30585.75,"Actif",1390000,"Garan2",0,"Affaire","D"
"40","1100003730",6,1,1,"Véhicule ancienne",1,15200,"Jeune actif",1790000,"Garan2",0,"Affaire","B"
"41","1100005657",4,1,1,"Véhicule ancienne",1,20620.25,"Jeune",1839000,"Garan2",0,"Affaire","F"
"42","1100006862",6,1,1,"Véhicule récente",2,13700,"Actif",2099000,"Garan2",0,"Affaire","B"
