"id"	"annee"	"agemoy"	"etp"	"prod"	"cap"	"nace"	"sect"
1	2006	38.471698113	51	4923	1250	24460	"M"
2	2006	43.533333333	29	930	1280	31010	"M"
3	2006	46.409090909	21	129	62	13100	"M"
4	2006	41.488372093	45	4301	372	31010	"M"
5	2006	37.043478261	22	1431	159	25110	"M"
6	2006	39.75	25	907	62	32500	"M"
7	2006	42.71875	31	1547	372	25501	"M"
8	2006	39.8	61	2840	250	23120	"M"
9	2006	40.452130326	8146	1224177	742324	24100	"M"
10	2006	41.114285714	63	2920	240	10820	"M"
11	2006	38.942307692	55	2898	238	25110	"M"
12	2006	39.823529412	31	2115	372	23610	"M"
13	2006	41.909638554	164	8523	6687	20160	"M"
14	2006	37.378378378	38	1886	2595	21201	"M"
15	2006	47.407407407	30	48	906	14310	"M"
16	2006	38.020408163	99	6662	2975	18110	"M"
17	2006	42.025	40	2453	125	18110	"M"
18	2006	41.769230769	37	2964	645	28940	"M"
19	2006	47.173913043	48	2928	188	25290	"M"
20	2006	46.263157895	89	7631	600	31091	"M"
21	2006	38.978798587	583	108511	22000	21201	"M"
22	2006	43.03125	33	3085	1066	20590	"M"
23	2006	37.975903614	77	11378	580	20600	"M"
24	2006	42.071428571	27	1390	105	17200	"M"
25	2006	45.538461538	51	1041	149	14130	"M"
26	2006	45.923076923	29	3404	992	10130	"M"
27	2006	44.346153846	27	916	500	13200	"M"
28	2006	44.947368421	59	3498	2650	10110	"M"
29	2006	40.826086957	163	7002	2500	14130	"M"
30	2006	37.956521739	46	3293	1000	10390	"M"
31	2006	48.8	26	416	69	14130	"M"
32	2006	46.381818182	54	1785	1300	14140	"M"
33	2006	39.646017699	112	9161	1983	25120	"M"
34	2006	33.105263158	37	3699	136	13100	"M"
35	2006	44.093023256	43	1738	174	31020	"M"
36	2006	41.863636364	86	6178	700	11050	"M"
37	2006	45	33	2297	62	18120	"M"
38	2006	43.463063063	529	19363	9250	13200	"M"
39	2006	41.718004338	467	18081	9682	13930	"M"
40	2006	43.35	37	1180	87	13300	"M"
41	2006	32.68	28	1625	198	13100	"M"
42	2006	43.065217391	46	1960	1135	10130	"M"
43	2006	44.308571429	173	16921	2479	20140	"M"
44	2006	36.65625	31	1907	100	29200	"M"
45	2006	40.765957447	51	3793	250	18120	"M"
46	2006	39.554327808	516	24724	11968	13930	"M"
47	2006	40.030927835	91	12979	5578	22290	"M"
48	2006	44.583333333	37	1606	600	31091	"M"
49	2006	46.722222222	56	1572	1359	13100	"M"
50	2006	44.5	32	3609	1250	23420	"M"
51	2006	40.829787234	293	20004	12789	22190	"M"
52	2006	43.183908046	175	8571	546	28940	"M"
53	2006	41.344827586	29	1567	125	25730	"M"
54	2006	48.484375	65	3569	4502	13300	"M"
55	2006	36.163043478	90	5566	125	23610	"M"
56	2006	41.122807018	58	3516	200	25999	"M"
